Date,RH120 X [km],RH120 Y [km],RH120 Z [km],Moon X [km],Moon Y [km],Moon Z [km],Earth X [km],Earth Y [km],Earth Z [km]
2028-Sep-18 ,1.56E+06,-3.56E+06,-1.18E+06,-3.39E+05,9.58E+04,-2.50E+04,4.17E+03,-1.18E+03,3.08E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Sep-19 ,1.60E+06,-3.55E+06,-1.16E+06,-3.52E+05,2.95E+03,-2.90E+04,4.33E+03,-3.63E+01,3.57E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Sep-20 ,1.64E+06,-3.54E+06,-1.14E+06,-3.42E+05,-9.01E+04,-3.10E+04,4.20E+03,1.11E+03,3.82E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Sep-21 ,1.67E+06,-3.53E+06,-1.12E+06,-3.10E+05,-1.77E+05,-3.10E+04,3.81E+03,2.18E+03,3.82E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Sep-22 ,1.71E+06,-3.52E+06,-1.10E+06,-2.58E+05,-2.53E+05,-2.91E+04,3.18E+03,3.12E+03,3.58E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Sep-23 ,1.75E+06,-3.50E+06,-1.08E+06,-1.91E+05,-3.14E+05,-2.54E+04,2.36E+03,3.86E+03,3.12E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Sep-24 ,1.79E+06,-3.49E+06,-1.06E+06,-1.14E+05,-3.56E+05,-2.02E+04,1.40E+03,4.38E+03,2.48E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Sep-25 ,1.84E+06,-3.47E+06,-1.04E+06,-2.97E+04,-3.79E+05,-1.39E+04,3.66E+02,4.67E+03,1.71E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Sep-26 ,1.88E+06,-3.45E+06,-1.02E+06,5.58E+04,-3.82E+05,-6.86E+03,-6.86E+02,4.70E+03,8.43E+01
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Sep-27 ,1.92E+06,-3.43E+06,-9.94E+05,1.39E+05,-3.66E+05,5.30E+02,-1.70E+03,4.50E+03,-6.52E+00
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Sep-28 ,1.97E+06,-3.41E+06,-9.72E+05,2.15E+05,-3.31E+05,7.89E+03,-2.64E+03,4.08E+03,-9.71E+01
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Sep-29 ,2.01E+06,-3.39E+06,-9.49E+05,2.81E+05,-2.81E+05,1.49E+04,-3.45E+03,3.46E+03,-1.83E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Sep-30 ,2.06E+06,-3.37E+06,-9.27E+05,3.34E+05,-2.18E+05,2.12E+04,-4.11E+03,2.69E+03,-2.61E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Oct-01 ,2.11E+06,-3.34E+06,-9.04E+05,3.73E+05,-1.45E+05,2.65E+04,-4.58E+03,1.79E+03,-3.26E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Oct-02 ,2.16E+06,-3.32E+06,-8.81E+05,3.95E+05,-6.58E+04,3.07E+04,-4.85E+03,8.10E+02,-3.77E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Oct-03 ,2.20E+06,-3.29E+06,-8.57E+05,3.99E+05,1.68E+04,3.34E+04,-4.91E+03,-2.07E+02,-4.11E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Oct-04 ,2.25E+06,-3.26E+06,-8.33E+05,3.86E+05,9.87E+04,3.47E+04,-4.75E+03,-1.21E+03,-4.27E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Oct-05 ,2.30E+06,-3.23E+06,-8.09E+05,3.55E+05,1.76E+05,3.43E+04,-4.37E+03,-2.17E+03,-4.22E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Oct-06 ,2.35E+06,-3.20E+06,-7.85E+05,3.09E+05,2.46E+05,3.24E+04,-3.80E+03,-3.02E+03,-3.99E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
