Date,RH120 X [km],RH120 Y [km],RH120 Z [km],Moon X [km],Moon Y [km],Moon Z [km],Earth X [km],Earth Y [km],Earth Z [km]
2028-May-14 ,4.20E+06,-1.15E+07,-1.76E+05,1.74E+05,-3.52E+05,1.03E+03,-2.14E+03,4.32E+03,-1.27E+01
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-May-15 ,4.24E+06,-1.13E+07,-2.02E+05,2.46E+05,-3.10E+05,8.43E+03,-3.03E+03,3.81E+03,-1.04E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-May-16 ,4.29E+06,-1.11E+07,-2.27E+05,3.06E+05,-2.54E+05,1.54E+04,-3.77E+03,3.12E+03,-1.90E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-May-17 ,4.32E+06,-1.09E+07,-2.53E+05,3.53E+05,-1.86E+05,2.17E+04,-4.34E+03,2.28E+03,-2.67E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-May-18 ,4.36E+06,-1.07E+07,-2.78E+05,3.83E+05,-1.09E+05,2.70E+04,-4.71E+03,1.34E+03,-3.32E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-May-19 ,4.39E+06,-1.05E+07,-3.04E+05,3.96E+05,-2.78E+04,3.11E+04,-4.87E+03,3.42E+02,-3.82E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-May-20 ,4.41E+06,-1.03E+07,-3.29E+05,3.90E+05,5.52E+04,3.37E+04,-4.80E+03,-6.79E+02,-4.15E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-May-21 ,4.44E+06,-1.01E+07,-3.54E+05,3.66E+05,1.36E+05,3.47E+04,-4.51E+03,-1.67E+03,-4.27E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-May-22 ,4.45E+06,-9.94E+06,-3.79E+05,3.25E+05,2.10E+05,3.41E+04,-4.00E+03,-2.58E+03,-4.19E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-May-23 ,4.47E+06,-9.75E+06,-4.04E+05,2.68E+05,2.74E+05,3.18E+04,-3.29E+03,-3.37E+03,-3.91E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-May-24 ,4.48E+06,-9.57E+06,-4.29E+05,1.97E+05,3.24E+05,2.78E+04,-2.42E+03,-3.99E+03,-3.42E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-May-25 ,4.49E+06,-9.39E+06,-4.54E+05,1.16E+05,3.57E+05,2.24E+04,-1.42E+03,-4.40E+03,-2.75E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-May-26 ,4.49E+06,-9.22E+06,-4.79E+05,2.86E+04,3.72E+05,1.57E+04,-3.52E+02,-4.57E+03,-1.93E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-May-27 ,4.49E+06,-9.04E+06,-5.03E+05,-6.01E+04,3.65E+05,8.20E+03,7.39E+02,-4.49E+03,-1.01E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-May-28 ,4.49E+06,-8.87E+06,-5.28E+05,-1.45E+05,3.38E+05,2.13E+02,1.79E+03,-4.16E+03,-2.62E+00
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-May-29 ,4.48E+06,-8.70E+06,-5.52E+05,-2.22E+05,2.92E+05,-7.79E+03,2.73E+03,-3.59E+03,9.58E+01
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-May-30 ,4.48E+06,-8.54E+06,-5.76E+05,-2.85E+05,2.28E+05,-1.53E+04,3.51E+03,-2.81E+03,1.89E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-May-31 ,4.46E+06,-8.37E+06,-6.00E+05,-3.32E+05,1.51E+05,-2.20E+04,4.08E+03,-1.86E+03,2.70E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
