Time (TU),X (LU),Y (LU),Z (LU),VX (LU/TU),VY (LU/TU),VZ (LU/TU)
0.2111723499915389,0.8901071118290509,0.09378355720484176,6.278305454626623e-80,-0.3405433184912609,0.34205225626432456,-4.493118556997491e-79
0.21409692681613782,0.8891148187299251,0.09478474286247131,6.1467364291608e-80,-0.33805168319080514,0.3426199416549659,-4.5042723870463805e-79
0.2170645104494593,0.8881153300000446,0.09580236378836667,6.012906651777489e-80,-0.3355585492727951,0.3432063288126943,-4.5150898438179885e-79
0.22007572047096594,0.8871086574964484,0.09683673842795724,5.876788749598437e-80,-0.3330638518441284,0.343811201050046,-4.5255738104439476e-79
0.2231311821514209,0.8860948162223278,0.09788819004956745,5.738355246223074e-80,-0.33056752571928616,0.34443433230572057,-4.535727035994543e-79
0.22623152942388003,0.8850738234276435,0.09895704778378854,5.597578435991929e-80,-0.3280695029187787,0.345075487394143,-4.545552142550277e-79
0.22937740355559674,0.8840456991549351,0.10004364618456087,5.454430452770965e-80,-0.3255697137531106,0.34573442139074806,-4.5550516167852664e-79
0.23256945232943177,0.883010466601708,0.10114832495821864,5.308883316767059e-80,-0.323068087412358,0.3464108790940784,-4.564227804116648e-79
0.23580833184906658,0.8819681516305711,0.10227142959610318,5.1609088623016605e-80,-0.320564550481193,0.34710459503312824,-4.5730829104319056e-79
0.23909470475422026,0.880918783449535,0.10341331076198339,5.010478829636013e-80,-0.3180590282796826,0.34781529270975414,-4.581618993123809e-79
0.24242923958575058,0.8798623949039259,0.10457432406841749,4.8575649055060136e-80,-0.31555144522397505,0.348542684062118,-4.589837956240626e-79
0.24581261348973696,0.878799021714839,0.10575483101175107,4.702138610988686e-80,-0.3130417226819369,0.3492864696520939,-4.59774155355686e-79
0.2492455086503389,0.8777287037071484,0.1069551977189877,4.5441714774942466e-80,-0.31052978154313526,0.35004633747838304,-4.6053313759763536e-79
0.25272861628714577,0.876651483655301,0.1081757963269557,4.383634876097897e-80,-0.30801553914330837,0.3508219634397983,-4.6126088568151253e-79
0.25626263150970036,0.8755674089841405,0.10941700315965411,4.2205002681262666e-80,-0.3054989128833763,0.35161300977024373,-4.6195752565699556e-79
0.25984825691203484,0.8744765307457003,0.11067919995539861,4.0547390542498335e-80,-0.3029798174428962,0.35241912540152254,-4.62623166689237e-79
0.2634862000384934,0.8733789044935051,0.11196277293979946,3.886322706702035e-80,-0.3004581664126605,0.353239944956976,-4.632579001557697e-79
0.2671771746371511,0.8722745899919865,0.11326811322062724,3.7152227275044476e-80,-0.29793387120417003,0.3540750885855175,-4.6386179949624226e-79
0.27092189832152674,0.8711636520078816,0.11459561590687001,3.541410773771229e-80,-0.29540684242943993,0.35492416098080887,-4.6443491943208554e-79
0.2747210934465607,0.8700461601268943,0.1159456803517739,3.3648586351129547e-80,-0.29287698902186216,0.35578675112143826,-4.6497729575693715e-79
0.2785754859694153,0.8689221891709324,0.1173187096734003,3.1855383053015477e-80,-0.2903442187146446,0.3566624315533223,-4.654889447945022e-79
0.28248580588762157,0.8677918191463828,0.11871511082455458,3.0034219815707104e-80,-0.2878084374383708,0.35755075802852676,-4.6596986309056415e-79
0.2864527836679364,0.8666551363452241,0.12013529321882002,2.818482251594627e-80,-0.2852695512855755,0.35845126823405704,-4.664200266229758e-79
0.29047715298401566,0.8655122326106034,0.12157966959478173,2.6306919877027885e-80,-0.2827274643332515,0.3593634819571285,-4.66839390818684e-79
0.294559647114852,0.8643632064229575,0.12304865460106297,2.440024537379555e-80,-0.28018208052670146,0.36028689981651973,-4.672278898206026e-79
0.2987009977213383,0.863208163273703,0.12454266420989721,2.2464538042453186e-80,-0.27763330393145264,0.36122100254567785,-4.6758543612118535e-79
0.30290193477113997,0.8620472157071978,0.12606211552839908,2.049954276330255e-80,-0.2750810382359761,0.3621652505486986,-4.6791192031699636e-79
0.30716318485492816,0.8608804838029431,0.12760742601352545,1.8505011304494835e-80,-0.27252518721278235,0.3631190831090347,-4.6820721073577755e-79
0.3114854686334013,0.859708095869763,0.1291790123487749,1.6480703783752684e-80,-0.2699656556170903,0.3640819174282414,-4.684711530729363e-79
0.3158694991025075,0.8585301888852089,0.13077728959210785,1.442638975789882e-80,-0.2674023495015415,0.36505314788032533,-4.687035701658498e-79
0.3203159801770276,0.8573469088272625,0.13240267041704995,1.2341849172136067e-80,-0.26483517628174874,0.3660321453712582,-4.6890426183559486e-79
0.3248256033015472,0.8561584115049643,0.1340555636078799,1.0226874242563719e-80,-0.26226404587052,0.3670182563059125,-4.6907300470081797e-79
0.3293990450850606,0.8549648630744081,0.13573637289749424,8.081270867356977e-81,-0.2596888711102886,0.3680108018376376,-4.692095521459094e-79
0.33403696487257295,0.8537664405378861,0.13744549575360251,5.904860073860047e-81,-0.25710956816198083,0.36900907716386666,-4.6931363436551957e-79
0.3387400001600338,0.8525633327579439,0.13918332133786682,3.697480483012291e-81,-0.25452605799586214,0.37001235043049757,-4.693849584636769e-79
0.3435087654848306,0.8513557405283028,0.14095022971229923,1.4589891463255591e-81,-0.2519382658522863,0.3710198624674126,-4.694232087397312e-79
0.34834384479881664,0.8501438782562326,0.14274658859963194,-8.107345567529891e-82,-0.24934612416654436,0.37203082523460856,-4.6942804701168235e-79
0.3532457896716722,0.8489279740912126,0.14457275225796137,-3.1117877591795234e-81,-0.24674957216837276,0.373044421628428,-4.6939911317950266e-79
0.35821511645555565,0.8477082702825992,0.14642905994178929,-5.444242463357807e-81,-0.24414855600360447,0.37405980517073856,-4.6933602585428006e-79
0.36325229623663524,0.8464850252387767,0.14831583162684422,-7.808140519791976e-81,-0.24154303251240045,0.37507609836663414,-4.6923838324700015e-79
0.3683577550295985,0.8452585129850979,0.15023336751327118,-1.020349342513352e-80,-0.23893296749709775,0.37609239332725664,-4.691057641407523e-79
0.3735318633299336,0.8440290251428768,0.15218194350517003,-1.2630277141552593e-80,-0.236318339417353,0.3771077504079207,-4.6893772921956545e-79
0.37877493613544716,0.8427968703007849,0.15416181057503353,-1.5088431848737334e-80,-0.23369913759920638,0.3781211991323576,-4.68733822351968e-79
0.3840872213823293,0.8415623760664034,0.15617318972759203,-1.7577856287096783e-80,-0.2310753662259678,0.37913173703820224,-4.684935724277607e-79
0.3894688993319696,0.840325888436619,0.15821627105021327,-2.009840726739963e-80,-0.22844704272216132,0.3801383308832946,-4.68216495034288e-79
0.39492007169867827,0.8390877734772217,0.16029120884594167,-2.2649894408735002e-80,-0.22581420115717782,0.38113991612017084,-4.679020947830514e-79
0.4004407596436719,0.8378484168540614,0.16239812008879503,-2.5232079073992988e-80,-0.22317689120870235,0.38213539830235527,-4.675498674571788e-79
